City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,tweed heads,-28.1817,153.547,28.43,74,6,5.14,AU,1733449550
140,carnarvon,-24.8667,113.6333,24.06,57,0,10.11,AU,1733449551
141,ugoofaaru,5.6667,73.0,27.34,65,97,1.03,MV,1733449552
142,puerto ayora,-0.7393,-90.3518,21.97,96,73,2.68,EC,1733449553
143,mastung,29.7994,66.845,4.41,54,0,1.73,PK,1733449555
144,st anne,49.715,-2.2042,11.82,67,84,12.44,GG,1733449556
145,cabedelo,-6.9811,-34.8339,25.37,83,100,4.46,BR,1733449557
146,la sarre,48.8002,-79.1996,-12.22,88,100,6.61,CA,1733449558
147,imbituba,-28.24,-48.6703,20.06,94,65,6.03,BR,1733449488
148,i-n-salah,27.1935,2.4607,11.93,45,0,4.72,DZ,1733449561
149,sinabang,2.4803,96.3801,26.97,81,61,3.41,ID,1733449562
150,sisimiut,66.9395,-53.6735,-13.76,86,82,4.16,GL,1733449553
151,tofol,5.3248,163.0078,29.88,79,100,4.12,FM,1733449565
152,aioun,16.6614,-9.6149,20.82,14,100,6.17,MR,1733449568
153,belo jardim,-8.3356,-36.4242,20.11,92,66,2.89,BR,1733449570
154,belomorsk,64.5232,34.7668,-5.43,72,23,4.72,RU,1733449571
155,borgarnes,64.5383,-21.9206,-5.06,98,100,2.39,IS,1733449573
156,betio village,1.358,172.9211,32.02,78,100,8.94,KI,1733449574
157,quellon,-43.1167,-73.6167,8.03,84,3,3.93,CL,1733449575
158,aasiaat,68.7098,-52.8699,-13.44,96,99,3.24,GL,1733449553
159,rocha,-34.4833,-54.3333,17.09,66,100,3.79,UY,1733449579
160,kitimat,54.0524,-128.6534,5.94,30,100,1.03,CA,1733449580
161,thompson,55.7435,-97.8558,-19.91,77,75,2.06,CA,1733449581
162,ramanuj ganj,23.8,83.7,14.68,57,0,1.56,IN,1733449582
163,klyuchi,52.2667,79.1667,-13.42,93,19,3.09,RU,1733449584
164,hailar,49.2,119.7,-19.1,90,31,2.16,CN,1733449585
165,puerto colombia,10.9878,-74.9547,28.05,79,0,4.53,CO,1733449586
166,chilca,-12.5211,-76.7372,18.55,91,99,2.49,PE,1733449589
167,cabo san lucas,22.8909,-109.9124,24.31,76,20,0.0,MX,1733449590
168,enewetak,11.3474,162.3373,28.17,78,38,9.76,MH,1733449591
169,bati,11.1833,40.0167,15.68,54,7,1.89,ET,1733449592
170,taguatinga,-12.3857,-46.5711,22.52,73,14,1.37,BR,1733449594
171,hilo,19.7297,-155.09,27.27,71,100,4.63,US,1733449595
172,college,64.8569,-147.8028,-4.75,81,100,2.06,US,1733449596
173,golfito,8.639,-83.166,21.91,95,86,0.72,CR,1733449597
174,kapuskasing,49.4169,-82.4331,-10.0,73,100,9.26,CA,1733449598
175,newman,37.3138,-121.0208,13.36,76,15,2.27,US,1733449321
176,yemetsk,63.4721,41.7941,-8.38,87,58,3.07,RU,1733449601
177,jamestown,42.097,-79.2353,-2.77,86,100,7.2,US,1733449602
178,anori,-3.7728,-61.6442,25.33,84,77,0.31,BR,1733449603
179,ola,59.5833,151.2833,-4.91,82,100,6.75,RU,1733449604
180,saint-felicien,48.6501,-72.4491,-2.72,93,100,8.23,CA,1733449606
181,nar'yan-mar,67.6713,53.087,-3.79,85,100,9.32,RU,1733449607
182,chunskiy,56.0815,99.6342,-4.77,96,100,2.71,RU,1733449608
183,smithers,54.7804,-127.1743,3.18,100,75,1.03,CA,1733449609
184,novyy turtkul',41.55,61.0167,-1.53,61,0,3.03,UZ,1733449610
185,nemuro,43.3236,145.575,-0.27,68,100,1.47,JP,1733449612
186,loralai,30.3705,68.598,5.2,35,0,3.92,PK,1733449613
187,ain temouchent,35.2975,-1.1404,12.95,83,32,1.41,DZ,1733449615
188,dudinka,69.4058,86.1778,-28.17,100,99,1.52,RU,1733449616
189,choyr,46.3611,108.3611,-9.55,46,100,6.94,MN,1733449618
190,an nuhud,12.7,28.4333,17.17,25,5,5.53,SD,1733449619
191,barrouallie,13.2333,-61.2667,24.47,72,52,6.32,VC,1733449620
192,mahdia,35.5047,11.0622,15.44,52,100,13.84,TN,1733449621
193,darnah,32.767,22.6367,15.05,67,100,8.0,LY,1733449622
194,la passe,45.5549,-0.8967,14.4,94,100,7.48,FR,1733449624
195,muntok,-2.0667,105.1833,28.9,69,100,1.4,ID,1733449625
196,punta arenas,-53.15,-70.9167,7.06,61,75,1.03,CL,1733449582
197,tolanaro,-25.0319,46.9987,25.04,78,20,3.6,MG,1733449627
198,constantia,44.1833,28.65,1.38,78,100,7.89,RO,1733449628
199,al qusayr,34.5091,36.5798,8.35,71,0,1.39,SY,1733449630
200,fort st. john,56.2499,-120.8529,6.94,70,75,11.83,CA,1733449631
201,mesquite,32.7668,-96.5992,8.42,38,0,3.6,US,1733449550
202,hawaiian paradise park,19.5933,-154.9731,26.73,65,100,4.63,US,1733449633
203,izhmorskiy,56.194,86.6414,-9.98,86,62,5.51,RU,1733449634
204,palangkaraya,-2.2,113.8333,23.25,99,100,1.21,ID,1733449635
205,sola,-13.8833,167.55,26.52,81,100,4.55,VU,1733449637
206,asuncion mita,14.3308,-89.7108,19.54,92,93,2.61,GT,1733449638
207,farshut,26.0549,32.1633,12.48,65,14,1.89,EG,1733449639
208,acapulco de juarez,16.8634,-99.8901,27.9,78,40,1.54,MX,1733449640
209,abdulino,53.7,53.6667,-9.99,97,53,2.32,RU,1733449644
210,fortaleza,-3.7227,-38.5247,27.9,78,40,6.17,BR,1733449480
211,chhor,25.5167,69.7667,18.27,54,56,1.94,PK,1733449646
212,tual,-5.6667,132.75,28.69,77,100,3.49,ID,1733449648
213,tazacorte,28.629,-17.9293,19.54,77,75,3.6,ES,1733449649
214,sungai penuh,-2.0833,101.3833,22.99,71,100,2.33,ID,1733449650
215,pyshma,56.9523,63.2513,-6.67,79,85,4.96,RU,1733449651
216,villa emilio carranza,19.9667,-96.6,22.84,84,7,4.0,MX,1733449652
217,belfast,54.5833,-5.9333,6.9,78,40,5.14,GB,1733449654
218,motygino,58.1831,94.7592,-6.68,94,100,4.14,RU,1733449655
219,bodo,67.28,14.405,1.02,60,0,12.35,NO,1733449656
220,langarud,37.197,50.1535,10.97,81,100,1.17,IR,1733449657
221,minas de marcona,-15.2119,-75.1103,15.34,85,81,5.54,PE,1733449658
222,shushtar,32.0455,48.8567,15.52,34,1,0.57,IR,1733449660
223,new norfolk,-42.7826,147.0587,22.06,28,100,1.38,AU,1733449661
224,vorkuta,67.5,64.0,-5.27,94,100,10.93,RU,1733449641
225,lata,40.1629,-8.3327,10.37,97,100,1.07,PT,1733449663
226,sorong,-0.8833,131.25,28.72,75,57,2.59,ID,1733449664
227,guaiba,-30.1139,-51.325,22.94,74,0,4.12,BR,1733449665
228,berbera,10.4396,45.0143,24.44,69,6,2.12,SO,1733449667
229,machico,32.7,-16.7667,20.35,79,40,5.14,PT,1733449668
